name,cell,school,class,time,distance,components,duration,description,upgrade,time_filter,distance_filter,components_filter,duration_filter
Изоляция,7,Преобразование,Волшебник,Действие,Касание,"Вербальный, Соматический,
Материальный (порошок из драгоценных камней
стоимостью 5 000+ зм, расходуемый заклинанием)",До рассеивания,"Касанием вы магическим образом сокрываете
объект или согласное существо. На время действия цель получает состояние невидимый и не
может быть целью заклинаний прорицания, обнаружена магией или видима удаленно с помощью
магии.
Если цель является существом, то оно входит в
состояние приостановленной жизнедеятельности;
оно получает состояние бессознательный, не стареет и не нуждается в пище, воде или воздухе.
Вы можете установить условие для досрочного окончания заклинания. Условие может быть
любым, но оно должно произойти или быть
видимым в пределах 1 мили от цели. Примеры
включают «через 1000 лет» или «когда проснется
тарасск». Это заклинание также заканчивается,
если цель получает любой урон.",NaN,Действие,Касание,"Вербальный, Соматический, Материальный расходуемый",Пока не рассеется
Радужные брызги,7,Воплощение,"Бард, волшебник, чародей",Действие,На себя,"Вербальный, Соматический",Мгновенная,"Восемь лучей света вырываются из вас в
60-футовом конусе. Каждое существо в конусе совершает спасбросок Ловкости. Для каждой цели
бросьте 1к8, чтобы определить, какой цвет луча
воздействует на него, используя таблицу «Призматические лучи».Призматические лучи
1к8 Луч
1 Красный. Неудача: 12к6 урона огнём.
Успех: половина этого урона.
2 Оранжевый. Неудача: 12к6 урона кислотой.
Успех: половина этого урона.
3 Желтый. Неудача: 12к6 урона электричеством.
Успех: половина этого урона.
4 Зелёный. Неудача: 12к6 урона ядом.
Успех: половина этого урона.
5 Голубой. Неудача: 12к6 урона холодом.
Успех: половина этого урона.
6
Синий. Цель получает состояние опутанный
и делает спасбросок Телосложения в конце
каждого своего хода. Если она успешно проходит три спасброска, то состояние заканчивается. Если она проваливает три спасброска,
то получает состояние окаменевший, пока не
будет освобождена эффектом, подобным заклинанию Высшее восстановление. Успешные и
неудачные спасброски не обязательно должны
быть последовательными; ведите учет обоих до
тех пор, пока цель не наберет три одинаковых
результата.
7
Фиолетовый. Цель получает состояние ослеплённый и делает спасбросок Мудрости в начале своего своего хода. При успехе состояние
заканчивается на цели. При пропали состояние
заканчивается и существо телепартируется на
другой план (на выбор Мастера).
8
Особенность. По цели попадают два луча.
Бросьте ещё два раза по таблице «Призматические лучи», перебрасывая выпавшую 8.",NaN,Действие,На себя,"Вербальный, Соматический",Мгновенно
Проекция,7,Иллюзия,"Бард, Волшебник",Действие,500 миль,"Вербальный, Соматический, Материальный (статуэтка себя стоимостью 5+ЗМ)
","концентрация, до 1 дня","Вы создаёте иллюзорную копию себя, которая
существует в течение длительности заклинания.
Копия может появиться в любом месте в пределах
дистанции, которое вы ранее видели, независимо
от преград. Иллюзия выглядит и звучит как вы,
но она нематериальна. Если иллюзия получает
урон, то она исчезает и заклинание заканчивается.
Вы можете видеть через глаза иллюзии и слышать через её уши, как будто вы находитесь в
её пространстве. Действием магия вы можете
переместить её на 60 футов и заставить её жестикулировать, говорить и вести себя так, как вы
хотите. Она идеально копирует ваши манеры.
Физическое взаимодействие с копией показывает, что это иллюзия, так как вещи могут
проходить через неё. Существо, использующее
действие изучение для анализа образа, может
определить, что это иллюзия, сделав успешную
проверку Интеллекта (Анализ) против вашего Сл
спасброска заклинания. Если существо распознает иллюзию, то оно может видеть через образ,
а любой звук, который она издаёт, кажется ему
приглушённым.",NaN,Действие,120 фт и больше,"Вербальный, Соматический, Материальный расходуемый",Концентрация больше минуты
Уход в иной план,7,Вызов,"Друид, жрец, колдун, чародей, волшебник",Действие,касание,"Вербальный, Соматический, Материальный (раздвоенный металлический стержень стоимостью 250+ зм, настроенный на план
существования)",Мгновенная,"Вы и до восьми желающих существ, которые
держатся за руки в круге, перемещаетесь на другой план. Вы можете указать место назначения в
общих чертах, например, Медный город на Плане
огня или дворец Диспатера на втором уровне Девяти преисподних, и вы появитесь в этом месте
или рядом с ним, по усмотрению Мастера.
Кроме того, если вы знаете последовательность
знаков телепортационного круга на другом плане
бытия, то это заклинание может переместить вас
в этот круг. Если телепортационный круг слишком мал, чтобы вместить всех существ, которых
вы перемещаете, то они появляются в ближайших свободных местах рядом с кругом.
",NaN,Действие,Касание,"Вербальный, Соматический, Материальный расходуемый",Мгновенно
Изменение тяготения,7,Преобразование,"Друид, волшебник, чародей",Действие,100 футов," Вербальный, Соматический,
Материальный (магнит и железные опилки)"," Концентрация, до 1 минуты","Это заклинание обращает гравитацию в в
цилиндре с радиусом 50 футов и высотой 100
футов с центром в точке в пределах дистанции.
Все существа и объекты в этой области, не закреплённые на земле, падают вверх и достигают
вершины цилиндра. Существо может совершить
спасбросок Ловкости, чтобы схватиться за неподвижный объект, до которого оно может дотянуться, и таким образом избежать падения вверх.
Если на пути этого подъёма вверх встречается
потолок или закреплённый объект, то существа
и объекты сталкиваются с ним, как если бы
они падали вниз. Если затронутое существо или
объект достигает вершины цилиндра, не ударившись ни обо что, то оно зависает там на время
длительности заклинания. Когда заклинание
заканчивается, затронутые объекты и существа
падают вниз.",NaN,Действие,60-119 фт,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Меч Морденкайнена,7,Воплощение,"Бард, волшебник",Действие,90 футов,"Вербальный, Соматический,
Материальный (миниатюрный меч стоимостью
250+ зм)","Концентрация, до 1 минуты","Вы создаёте призрачный меч, который парит
в пределах дистанции. Он существует в течение
длительности заклинания.
Когда меч появляется, то вы совершаете рукопашную атаку заклинанием по цели в пределах
5 футов от меча. При попадании цель получает
урон силовым полем, равный 4к12 + модификатор вашей заклинательной характеристики.
На последующих ходах вы можете бонусным
действием переместить меч на 30 футов в видимое место и повторить атаку по той же цели или
другой.",NaN,Действие,60-119 фт,"Вербальный, Соматический, Материальный расходуемый",Концентрация минуту и менее
Великолепный особняк Морденкайнена,7,Вызов,"Бард, волшебник",1 минута,300 футов," Вербальный, Соматический,
Материальный (миниатюрная дверь стоимостью
15+ зм)
",24 часа,"Вы вызываете мерцающую дверь в пределах
дистанции, которая существует на протяжении
всй длительности заклинания. Дверь ведет в
межпространственное жилище и имеет размеры
5 футов в ширину и 10 футов в высоту. Вы и любые существа, которых вы укажете при наложении заклинания, можете входить в это межпространственное жилище, пока дверь остается
открытой. Вы можете открыть или закрыть её (не
требуя действия), если находитесь в пределах 30
футов от неё. В закрытом состоянии дверь невидима.
За дверью находится великолепный вестибюль
с множеством комнат. Атмосфера в жилище чистая, свежая и теплая.
Вы можете создать любой план помещения по
своему желанию, но его площадь не может превышать 50 смежных 10-футовых кубов. Помещение обставлено и декорировано по вашему вкусу.
В нём достаточно еды, чтобы накормить до 100
человек с девятью переменами блюд. Мебель и
другие объекты, созданные этим заклинанием,
исчезают в дым, если вынести их из жилища.
Штат из 100 полупрозрачных слуг обслуживает
всех, кто входит. Вы определяете внешний вид
этих слуг и их одежду. Они неуязвимы и подчиняются вашим приказам. Каждый слуга может
выполнять задачи, которые мог бы выполнить
человек, но они не могут атаковать или предпринимать действия, которые могут напрямую
навредить другому существу. Таким образом,
слуги могут приносить вещи, убирать, чинить,
складывать одежду, разжигать огонь, подавать
еду, наливать вино и так далее. Слуги не могут
покидать жилище.
Когда заклинание заканчивается, то любые
существа или предметы, оставшиеся внутри
межпространственного жилиза, изгоняются в
незанятые пространства рядом с входом.",NaN,1 минута,120 фт и больше,"Вербальный, Соматический, Материальный расходуемый",Больше минуты
Таинственный мираж,7,Иллюзия,"Бард, волшебник, друид",10 минут,В пределах видимости,"Вербальный, Соматический",10 дней,"Вы изменяете ландшафт на площади до 1 квадратной мили, заставляя его выглядеть, звучать,
пахнуть и даже ощущаться как другой вид местности. Открытые поля или дорогу можно заставить походить на болото, холм, ущелье или другой
сложнопроходимый или непроходимый ландшафт. Пруд может выглядеть как травянистая
лужайка, обрыв как пологий склон, а покрытый
камнями овраг как широкая и гладкая дорога.
Аналогично, вы можете изменить внешний вид
строений или добавить их там, где их нет. Заклинание не скрывает, не маскирует и не добавляет
существ.
Иллюзия включает аудиальные, визуальные,
тактильные и обонятельные элементы, поэтому
она может превратить открытую местность в
труднопроходимую (или наоборот) или иным образом затруднить передвижение по территории.
Любой элемент иллюзорного ландшафта (например, камень или палка), который будет удалён из
зоны действия заклинания, немедленно исчезает.
Существа с истинным зрением видят сквозь
иллюзию истинную форму местности; однако все
остальные элементы иллюзии остаются, поэтому,
хотя существо осведомлено о присутствии иллюзии, оно всё равно может физически взаимодействовать с ней.",NaN,Более минуты,120 фт и больше,"Вербальный, Соматический",Больше минуты
Телепортация,7,Вызов,"Бард, волшебник, чародей",Действие,10 футов,Вербальный,Мгновенно,"Это заклинание мгновенно переносит вас и до
восьми согласных существ, которых вы видите в
пределах дистанции, или один объект, который
вы видите в пределах дистанции, в выбранное
вами место. Если целью является объект, то он
должен быть размером большой или меньше, и
его не должно нести или носить несогласное существо.
Выбранное вами место должно быть вам известно и находиться на том же плане существования, что и вы. Ваше знакомство с местом определяет успешность прибытия. Мастер кидает 1к100
и сверяется с таблицей исходов телепортации и
пояснениями к ней.",NaN,Действие,до 30 фт,Вербальный,Мгновенно
Знак,7,Ограждение,"Бард, жрец, друид, волшебник",1 минута,Касание,"Вербальный, Соматический,
Материальный (измельчённый алмаз стоимостью
1 000+ зм, расходуемый заклинанием)",До рассеивания или активации,"Вы рисуете губительный знак на поверхности
(например, на участке пола или стены) или внутри предмета, который можно закрыть (например, книги или сундука). Знак может покрывать
площадь не более 10 футов в диаметре. Если вы
выбираете предмет, то его нельзя перемещать;
если он будет перемещён более чем на 10 футов
от места наложения заклинания, то знак разрушается и заклинание заканчивается, не будучи
активированным.
Знак почти незаметен и требует успешной
проверки Внимательности (Мудрость) против Сл
спасброска вашего заклинания, чтобы его заметить.
Когда вы чертите знак, вы устанавливаете условие его активации и выбираете, какой эффект
символ несёт: смерть, разногласие, страх, боль,
сон или ошеломление. Каждый эффект описан
ниже.
Условие активации. Вы решаете, что активирует знак, когда накладываете заклинание. Для
знаков, начерченных на поверхности, распространёнными условиями активации являются
прикосновение к знаку, наступание на него, удаление предмета, покрывающего его, или приближение на определённое расстояние. Для знаков,
начерченных внутри предмета, распространённые условия активации включают открытие
предмета или видимость знака.
Вы можете уточнить условие активации, чтобы
только существа определённых типов могли его
активировать (например, знак можно настроить
на воздействие только на аберрации). Вы также
можете установить условия, при которых существа не активируют знак, например, если они
произнесут определённый пароль.
После активации знак светится, заполняя
сферу радиусом 60 футов тусклым светом на 10
минут, после чего заклинание заканчивается. Существо становится целью эффекта знака при его
активации, когда впервые за ход входит в сферу
или заканчивает свой ход в ней. Существо может
стать целью только один раз за ход.
Смерть. Каждая цель совершает спасбросок
Телосложения, получая 10к10 урона некротической энергией при провале или половину этого
урона при успехе.
Разногласие. Каждая цель совершает спасбросок Мудрости. При провале цель спорит с другими существами в течение 1 минуты. В это время
она не способна вести осмысленные разговоры и
имеет помеху на броски атаки и проверки характеристик.
Страх. Каждая цель должна преуспеть в
спасброске Мудрости или получить состояние
испуганный на 1 минуту. Пока цель испугана,
она должна удаляться на 30 футов от знака на
каждом своём ходу, если это возможно.
Боль. Каждая цель должна преуспеть в
спасброске Телосложения или получить состояние
недееспособный на 1 минуту.
Сон. Каждая цель должна преуспеть в спасброске Мудрости или получить состояние бессознательный на 10 минут. Существо пробуждается,
если получает урон или если кто-то совершит
действие, чтобы разбудить его.
Ошеломление. Каждая цель должна преуспеть
в спасброске Мудрости или получить состояние
ошеломлённый на 1 минуту.",NaN,1 минута,Касание,"Вербальный, Соматический, Материальный расходуемый",Пока не рассеется
Власть над погодой,8,Преобразование,"Волшебник, друид, жрец",10 минут,На себя,"Вербальный, Соматический, Материальный (горящее благовоние)","Концентрация, до 8 часов","Вы контролируете погоду в пределах 5 миль вокруг вас на протяжении длительности заклинания. Чтобы наложить это заклинание, вы должны находиться на открытом воздухе, и оно заканчивается досрочно, если вы войдете в помещение. Когда вы накладываете заклинание, то вы изменяете текущие погодные условия, которые определяются Мастером. Вы можете изменить осадки, температуру и ветер. Для вступления новых условий в силу требуется 1к4 * 10 минут. Как только они вступают в силу, вы можете изменить условия снова. Когда заклинание заканчивается, погода постепенно возвращается к норме. Когда вы изменяете погодные условия, найдите текущее состояние в следующих таблицах и измените его на одну стадию вверх или вниз. При изменении ветра вы можете изменить его направление.",NaN,Более минуты,На себя,"Вербальный, Соматический, Материальный не расходуемый",Концентрация больше минуты
Землетрясение,8,Преобразование,"Друид, жрец, чародей",Действие,500 футов,"Вербальный, Соматический,
Материальный (щепотка земли, кусочек камня и
комочек глины)","Концентрация, до 1 минуты","Выберите точку на земле, которую вы видите
в пределах дистанции. На протяжении действия
заклинания интенсивный толчок разрывает землю в круге со 100-футовым радусом, с центром
в этой точке. Земля в этой области становится
труднопроходимой местностью.
Когда вы накладываете это заклинание и в
конце каждого вашего хода в течение его длительности, каждое существо, находящееся на
земле в этой области, должно совершить спасбросок Ловкости. При провале существо получает
состояние лежачий ничком и его концентрация
прерывается.
Вы также можете вызвать следующие эффекты:
Разломы. В конце хода, в котором вы наложили это заклинание, в области заклинания
открывается в общей сложности 1к6 разломов.
Вы выбираете их расположение, они не могут
появляться под строениями. Каждый разлом имеет глубину 1к10 * 10 футов, ширину 10 футов и
простирается от одного края области заклинания
до другого. Существо, находящееся в том же месте, что и разлом, должно совершить спасбросок
Ловкости или упасть в неё. Существо, которому
удалось спастись, перемещается к краю разлома
по мере её открытия.Строения. Соторясение наносит 50 дробящего урона любому строению в контакте с землёй в
области действия, когда вы накладываете заклинание и в конце каждого вашего хода до тех пор,
пока заклинание не закончится. Если прочность
строения падает до 0 хитов, то оно обрушивается.
Существо, находящееся на расстоянии от обрушивающегося строения, равном половине его
высоты, должно совершить спасбросок Ловкости.
При провале существо получает 12к6 дробящего
урона, состояние лежачий ничком и оказывается
погребённым под обломками, требуя действием
проверки Силы (Атлетика) Сл 20 для высвобождения. При успешном спасброске существо получает только половину урона.",NaN,Действие,120 фт и больше,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Находчивость,8,Очарование,"Бард, колдун",Действие,На себя,Вербальный,1 час,"До окончания действия заклинания, когда вы
совершаете проверку Харизмы, то вы можете
заменить выпавшее значение на 15. Кроме того,
независимо от того, что вы говорите, магия,
которая определяет, говорите ли вы правду, будет
указывать, что вы говорите правду.",NaN,Действие,На себя,Вербальный,Больше минуты
Цунами,8,Вызов,Друид,1 минута,1 миля,"Вербальный, Соматический","Концентрация, до 6 раундов","Стена воды возникает в точке, которую вы
выбираете в пределах дистанции. Вы можете
сделать стену до 300 футов в длину, 300 футов в
высоту и 50 футов в толщину. Стена существует в
течение всего времени действия заклинания.
Когда стена появляется, каждое существо в её
области должно совершить спасбросок Силы. При
провале оно получает 6к10 дробящего урона, а
при успехе — половину этого урона.
В начале каждого вашего хода после появления
стены, она, вместе с существами, находящимися
в ней, перемещается на 50 футов от вас. Любое
существо размера огромное или меньше, находящееся внутри стены или в области, куда она
перемещается, должно совершить спасбросок
Силы, иначе оно получает 5к10 дробящего урона.
Существо может получать этот урон только один
раз за раунд. В конце хода высота стены уменьшается на 50 футов, и урон, который она наносит
в последующих раундах, уменьшается на 1к10.
Когда высота стены достигает 0 футов, заклинание прекращает своё действие.
Существо, захваченное стеной, может двигаться, плавая. Однако из-за силы волны оно должно
преуспеть в проверке Силы (Атлетика) против
сложности спасброска ваших заклинаний, чтобы двигаться. Если проверка провалена, то оно
не может двигаться. Существо, выбравшееся из
стены, падает на землю.
",NaN,1 минута,120 фт и больше,"Вербальный, Соматический",Концентрация минуту и менее
Антипатия/симпатия,8,Очарование,"Бард, волшебник, друид",1 час,60 футов,"Вербальный, Соматический,
Материальный (смесь уксуса и мёда)",10 дней,"Когда вы накладываете это заклинание, то
выберите, будет ли оно создавать антипатию или
симпатию, и выберите одну цель, которая является существом или объектом размером не больше
огромного. Затем укажите вид существа, например, красных драконов, гоблинов или вампиров.
Существо выбранного вида совершает
спасбросок Мудрости, когда оказывается в пределах 120 футов от цели. Ваш выбор антипатии или
симпатии определяет, что произойдет с существом, если оно провалит этот спасбросок:
Антипатия. Существо получает состояние испуганный. Испуганное существо должно использовать своё перемещение в свой ход, чтобы как
можно быстрее отдалиться от цели, двигаясь по
самому безопасному маршруту.
Симпатия. Существо получает состояние очарованный. Очарованное существо должно использовать своё перемещение в каждый свой ход,
чтобы как можно ближе приблизиться к цели,
двигаясь по самому безопасному маршруту. Если
существо находится в пределах 5 футов от цели,
то оно не может добровольно отойти от неё. Если
цель наносит урон очарованному существу, то это
существо может совершить спасбросок Мудрости,
чтобы прекратить действие эффекта, как описано ниже.
Окончание эффекта. Если испуганное или
очарованное существо заканчивает свой ход
на расстоянии более 120 футов от цели, то оно
совершает спасбросок Мудрости. При успешном
спасброске существо больше не подвержено воздействию цели. Существо, успешно прошедшее
спасбросок против этого эффекта, становится
невосприимчивым к нему на 1 минуту, после чего
снова может подвергнуться воздействию.",NaN,Более минуты,60-119 фт,"Вербальный, Соматический, Материальный не расходуемый",Больше минуты
Двойник,8,Некромантия,Волшебник,1 час,Касание," Вербальный, Соматический,
Материальный (алмаз стоимостью 1 000+ зм,
расходуемый заклинанием, а также сосуд стоимостью 2 000+ с запираемой крышкой и достаточно
большой, чтобы вместить клонируемое существо)",Мгновенная,"Вы касаетесь существа или хотя бы одного
кубического дюйма его плоти. Инертный дубликат этого существа формируется внутри сосуда,
использованного при накладывании заклинания,
и заканчивает расти через 120 дней; вы выбираете, будет ли готовый двойник того же возраста,
что и оригинальное существо, или моложе. Двойник остаётся неактивным и может существовать
неограниченно долго, пока его сосуд остаётся
непотревоженным.
Если оригинальное существо умирает после завершения формирования двойника, то его душа
переносится в двойника, если душа свободна
и желает вернуться. Двойник физически идентичен оригиналу и обладает той же личностью,
воспоминаниями и способностями, но не имеет
снаряжения оригинала. Тело исходного существа,
если оно ещё существует, остаётся инертным, и
его впоследствии нельзя оживить, так как душа
обитает в другом месте.
",NaN,Более минуты,Касание,"Вербальный, Соматический, Материальный расходуемый",Мгновенно
Одурманивание,8,Очарование,"Бард, волшебник, друид, колдун",Действие,150 футов,"Вербальный, Соматический, Материальный (кольцо для ключей без ключей)",Мгновенная,"Вы поражаете разум существа, которое видите
в пределах дистанции. Цель совершает спасбросок Интеллекта. При провале цель получает
10к12 урона психической энергией и не может
накладывать заклинания или совершать действие
магия. В конце каждого 30-го дня цель повторяет
спасбросок, завершив эффект при успехе. Эффект также может быть снят с помощью заклинаний Высшее восстановление, Полное исцеление
или Исполенине желаний.
При успешном спасброске цель получает только
половину урона.",NaN,Действие,120 фт и больше,"Вербальный, Соматический, Материальный не расходуемый",Мгновенно
Превращение в животных,8,Преобразование,"Чародей, волшебник",Действие,30 футов,"Вербальный, Соматический","Концентрация, до 24 часов","Выберите любое число согласных существ, которых видите в пределах дистанции. Вы превращаете каждую цель в зверя большого или меньше
размера с показателем опасности не больше 4.
Вы можете выбрать разных зверей для каждой
цели. В последующие ходы вы можете использовать действие магия, чтобы снова превратить
цели.
Статблок цели заменяется статблоком зверя,
но цель сохранят свой тип сущесва; количество
хитов; кость хитов; мировоззрение; способность
говорить; а также значения интеллекта мудрости
и харизмы.
Превращение держится всю длительность
заклинания, или пока хиты цели не опустятся до
0, или она не умрёт. У каждой цели может быть
свой облик. Действия цели ограничены анатомией формы зверя и она не может накладывать
заклинания. Снаряжение цели сливается с новой
формой и цель не может использовать это снаряжение, находясь в этой форме.
Цель получает количество временных хитов,
равное количеству хитов зверя. Превращение
длится в течение указанного времени, пока у
цели есть временные хиты, или пока цель не выйдет из этой формы бонусным действием.",NaN,Действие,30 фт,"Вербальный, Соматический",Концентрация больше минуты
Преграда магии,8,Ограждение,"Волшебник, жрец",Действие,"На себя
","Вербальный, Соматический,
Материальный (железная стружка)","Концентрация, до 1 часа","Аура антимагии окружает вас в радиусе 10
футом. Никто не может накладывать заклинания,
совершать действия магия или создавать другие
магические эффекты внутри ауры. Всё это не
может нацеливаться на что-либо внутри ауры или
каким-либо образом воздействовать на неё. Магические свойства магических предметов не работают внутри ауры или на что-либо внутри неё.
Области эффектов, создаваемые заклинаниями
или другой магией, не могут распространяться
внутрь ауры, и никто не может телепортироваться в неё или из неё, а также перемещаться из
других планов. Порталы временно закрываются,
находясь в ауре.
Действующие заклинания, за исключением тех,
что были наложены артефактом или божеством,
подавляются в этой области. Пока эффект подавлен, он не функционирует, но время его подавления засчитывается в его длительность. Заклинание Рассеивание магии не оказывает влияния
на ауру, и ауры, созданные разными заклинаниями Преграда магии, не нейтрализуют друг друга.",NaN,Действие,На себя,"Вербальный, Соматический, Материальный не расходуемый",Концентрация больше минуты
Демиплан,8,Вызов,"Волшебник, колдун, чародей",Действие,60 футов,Соматический, 1 час,"Вы создаёте дверь из тьмы среднего размера
на плоской твёрдой поверхности, которую видите
в пределах дистанции. Эту дверь можно открыть
и закрыть, и она ведёт на демиплан, представляющий собой пустую комнату размером 30 футов
во всех измерениях, сделанную из дерева или
камня (на ваш выбор). Когда действие заклинания заканчивается, то дверь исчезает, а все
объекты внутри демиплана остаются там. Все существа внутри также остаются, если только они
не выберут вариант быть вытесненными через
дверь при её исчезновении, оказавшись в состоянии лежащий ничком в ближайших свободных
пространствах к месту, где раньше находилась
дверь.
Каждый раз, когда вы накладываете это заклинание, вы можете создать новый демиплан или
соединить теневую дверь с демипланом, который
вы создали при предыдущем наложении этого
заклинания. Кроме того, если вы знаете природу и содержимое демиплана, созданного другим
существом с помощью этого заклинания, то вы
можете соединить теневую дверь с этим демипланом.",NaN,Действие,60-119 фт,Соматический,Больше минуты
